K_shot,Run_Index,Split_Seed,Row_Type,N_Train_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,ES_Eval_Every,ES_Patience,ES_Min_Steps_Before_Eval,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
5,0,42,run,10,1000,1000,930,1,15,5,150,16,16,2e-05,0.479577877662693,0.4134097035040431,0.4440423414457613,0.9007462541160883,0.5457309348872561,0.36287061994609165,0.43590003035515534,0.7489232328350646,0.49797843665768193,0.5981989274511789,0.6577147200405371,0.41930592991913745,0.5121232955346369
5,1,142,run,10,1000,1000,990,0,15,5,150,16,16,2e-05,0.4383320281910728,0.3771900269541779,0.40546903295907283,0.8985250277653294,0.4511400651465798,0.37331536388140163,0.4085545722713864,0.7221091205211726,0.5975404312668463,0.6539454277286135,0.5659609120521173,0.4455862533692722,0.498611258032055
5,2,242,run,9,1000,495,420,1,15,5,150,16,16,2e-05,0.6039415130324222,0.3200808625336927,0.4184100418410042,0.8914521754379128,0.6298769771528998,0.3018867924528302,0.4081539687962647,0.7803163444639719,0.37398921832884097,0.5056371711650154,0.7507908611599297,0.34838274932614555,0.4759258808336434
5,,,mean_over_runs,9,1000,831.6666666666666,780.0,0.6666666666666666,15,5,150,16,16,2e-05,0.507283806295396,0.3702268643306379,0.4226404720819461,0.8969078191064436,0.5422493257289119,0.34602425876010784,0.4175361904742689,0.7504495659400697,0.48983602875112303,0.5859271754482692,0.6581554977508614,0.404424977538185,0.49555347813344514
