k_shot,series,step,mini_val_strict_f1
k=20,OADA-XE cap24 fixed-2000,1500,0.5765
k=20,OADA-XE cap24 fixed-2000,1600,0.5643
k=20,OADA-XE cap24 fixed-2000,1700,0.5674
k=20,OADA-XE cap24 fixed-2000,1800,0.5631
k=20,OADA-XE cap24 fixed-2000,1900,0.5727
k=20,OADA-XE cap24 fixed-2000,2000,0.5418
k=50,XE fixed-2000,100,0.2042
k=50,XE fixed-2000,200,0.4404
k=50,XE fixed-2000,300,0.5785
k=50,XE fixed-2000,400,0.6138
k=50,XE fixed-2000,500,0.6609
k=50,XE fixed-2000,600,0.6376
k=50,XE fixed-2000,700,0.6692
k=50,XE fixed-2000,800,0.6813
k=50,XE fixed-2000,900,0.6823
k=50,XE fixed-2000,1000,0.6902
k=50,XE fixed-2000,1100,0.6788
k=50,XE fixed-2000,1200,0.6645
k=50,XE fixed-2000,1300,0.6862
k=50,XE fixed-2000,1400,0.6936
k=50,XE fixed-2000,1500,0.6952
k=50,XE fixed-2000,1600,0.6791
k=50,XE fixed-2000,1700,0.6855
k=50,XE fixed-2000,1800,0.6887
k=50,XE fixed-2000,1900,0.6963
k=50,XE fixed-2000,2000,0.6859
k=50,OADA-XE cap24 fixed-2000,100,0.2209
k=50,OADA-XE cap24 fixed-2000,200,0.4797
k=50,OADA-XE cap24 fixed-2000,300,0.5702
k=50,OADA-XE cap24 fixed-2000,400,0.6425
k=50,OADA-XE cap24 fixed-2000,500,0.6316
k=50,OADA-XE cap24 fixed-2000,600,0.6715
k=50,OADA-XE cap24 fixed-2000,700,0.6596
k=50,OADA-XE cap24 fixed-2000,800,0.6892
k=50,OADA-XE cap24 fixed-2000,900,0.6957
k=50,OADA-XE cap24 fixed-2000,1000,0.7162
k=50,OADA-XE cap24 fixed-2000,1100,0.6997
k=50,OADA-XE cap24 fixed-2000,1200,0.7102
k=50,OADA-XE cap24 fixed-2000,1300,0.7075
k=50,OADA-XE cap24 fixed-2000,1400,0.6979
k=50,OADA-XE cap24 fixed-2000,1500,0.6988
k=50,OADA-XE cap24 fixed-2000,1600,0.6904
k=50,OADA-XE cap24 fixed-2000,1700,0.7022
k=50,OADA-XE cap24 fixed-2000,1800,0.7214
k=50,OADA-XE cap24 fixed-2000,1900,0.6926
k=50,OADA-XE cap24 fixed-2000,2000,0.7082
