K_shot,Run_Index,Split_Seed,Row_Type,N_Train_Sentences,Max_Train_Steps,Train_Steps,Best_Span_F1_Step,Early_Stopped,ES_Eval_Every,ES_Patience,Train_Batch_Size,Eval_Batch_Size,Learning_Rate,HF_Token_Precision,HF_Token_Recall,HF_Token_F1,HF_Token_Accuracy,Span_Strict_Precision,Span_Strict_Recall,Span_Strict_F1,Span_Unlabeled_Precision,Span_Unlabeled_Recall,Span_Unlabeled_F1,Span_Loose_Precision,Span_Loose_Recall,Span_Loose_F1
5,0,42,run,8,600,300,225,1,15,5,16,16,2e-05,0.3838771593090211,0.2070393374741201,0.26899798251513113,0.9486659509324427,0.47326732673267324,0.2474120082815735,0.32494901427600276,0.5148514851485149,0.2691511387163561,0.35350101971447995,0.699009900990099,0.32919254658385094,0.44759444005837457
5,1,142,run,10,600,540,465,1,15,5,16,16,2e-05,0.2874331550802139,0.2225672877846791,0.2508751458576429,0.9471947194719472,0.3632286995515695,0.2515527950310559,0.29724770642201837,0.4693572496263079,0.3250517598343685,0.3840978593272172,0.5754857997010463,0.37577639751552794,0.4546674539696172
5,2,242,run,10,600,450,375,1,15,5,16,16,2e-05,0.39303482587064675,0.08178053830227744,0.1353898886032562,0.9446896496878604,0.4444444444444444,0.08695652173913043,0.14545454545454548,0.5185185185185185,0.10144927536231885,0.1696969696969697,0.6243386243386243,0.12215320910973085,0.20432900432900433
5,,,mean_over_runs,9,600,430.0,355.0,1.0,15,5,16,16,2e-05,0.3547817134199606,0.17046238785369225,0.21842100565867673,0.9468501066974168,0.42698015690956237,0.19530710835058662,0.2558837553841889,0.5009090844311137,0.2318840579710145,0.3024319495795556,0.6329447750099232,0.2757073844030366,0.36886363278566536
10,0,42,run,16,1000,345,270,1,15,5,150,16,16,2e-05,0.37088607594936707,0.3033126293995859,0.3337129840546697,0.9500974193804923,0.40966921119592875,0.3333333333333333,0.3675799086757991,0.49236641221374045,0.40062111801242234,0.4417808219178082,0.6195928753180662,0.4492753623188406,0.5208646000448516
10,1,142,run,18,1000,435,360,1,15,5,150,16,16,2e-05,0.42406143344709896,0.5144927536231884,0.4649204864359214,0.9613105888902144,0.4627272727272727,0.5269151138716356,0.49273959341723134,0.5418181818181819,0.6169772256728778,0.5769603097773476,0.6627272727272727,0.6687370600414079,0.6657186032934365
10,2,242,run,16,1000,510,435,1,15,5,150,16,16,2e-05,0.42034943473792397,0.42339544513457555,0.42186694172253736,0.9596405423674897,0.43905070118662354,0.42132505175983437,0.43000528262017956,0.505933117583603,0.4855072463768116,0.49550977284733233,0.6375404530744336,0.5610766045548654,0.5968695846609648
10,,,mean_over_runs,16,1000,430.0,355.0,1.0,15,5,150,16,16,2e-05,0.40509898137813,0.4137336093857833,0.4068334707377095,0.9570161835460654,0.437149061703275,0.4271911663216011,0.43010826157107,0.5133725705385085,0.5010351966873706,0.5047503015141627,0.6399535337065908,0.559696342305038,0.5944842626664176
20,0,42,run,33,1000,345,270,1,15,5,150,16,16,2e-05,0.4620034542314335,0.5538302277432712,0.5037664783427495,0.9626625313133723,0.47585601404741,0.5610766045548654,0.5149643705463183,0.5496049165935031,0.6480331262939959,0.5947743467933492,0.6356453028972783,0.6894409937888198,0.6614511529138699
20,1,142,run,37,1000,330,255,1,15,5,150,16,16,2e-05,0.384159881569208,0.5372670807453416,0.4479930945187742,0.9611117738279852,0.43364197530864196,0.5817805383022774,0.49690539345711754,0.4976851851851852,0.6677018633540373,0.5702917771883289,0.6728395061728395,0.7701863354037267,0.7182294019183251
20,2,242,run,34,1000,360,285,1,15,5,150,16,16,2e-05,0.43401552575864505,0.6366459627329193,0.5161561057490559,0.9601176985168396,0.46567164179104475,0.6459627329192547,0.5411968777103209,0.5365671641791044,0.7443064182194618,0.6235906331309627,0.594776119402985,0.7598343685300207,0.6672491334286116
20,,,mean_over_runs,34,1000,345.0,270.0,1.0,15,5,150,16,16,2e-05,0.42672628718642885,0.5759144237405107,0.4893052262035265,0.9612973345527323,0.4583898770490322,0.5962732919254657,0.5176888805712522,0.527952421985931,0.6866804692891649,0.596218919037547,0.6344203094910342,0.7398205659075224,0.6823098960869355
50,0,42,run,78,1000,345,270,1,15,5,150,16,16,2e-05,0.5176,0.6697722567287785,0.5839350180505415,0.9644518668734343,0.5560344827586207,0.6677018633540373,0.6067732831608655,0.6517241379310345,0.782608695652174,0.7111947318908748,0.6198275862068966,0.727743271221532,0.6694643961659141
50,1,142,run,92,1000,240,165,1,15,5,150,16,16,2e-05,0.51272166538165,0.6884057971014492,0.5877154220061864,0.9648494969978926,0.5441295546558704,0.6956521739130435,0.6106315311222171,0.6307692307692307,0.8064182194616977,0.7078600636074511,0.6161943319838057,0.772256728778468,0.6854547957180356
50,2,242,run,86,1000,420,345,1,15,5,150,16,16,2e-05,0.5777027027027027,0.7080745341614907,0.6362790697674418,0.9707741858523202,0.6068904593639576,0.7111801242236024,0.6549094375595804,0.6987632508833922,0.8188405797101449,0.7540514775977121,0.6696113074204947,0.7691511387163561,0.7159379242663846
50,,,mean_over_runs,85,1000,335.0,260.0,1.0,15,5,150,16,16,2e-05,0.5360081226947843,0.6887508626639062,0.6026431699413899,0.9666918499078824,0.5690181655928161,0.691511387163561,0.624104750614221,0.6604188731945525,0.8026224982746721,0.7243687576986794,0.6352110752037322,0.756383712905452,0.6902857053834448
