figure_id,method_id,method_label,subset_name,subset_rows,subset_tick_label,unlabeled_pool_rows,pool_fraction,eval_split,metric_name,metric_label,metric_value,metric_value_percent,status,score_source,is_placeholder,color,source_path
agreement_filter_subset_size_strict_f1,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble → BERT subset size,top_500,500,top 500,14031,0.035635378803,validation,span_strict_f1,Strict span F1,0.5702,57.02,pilot,validation,false,#E45756,docs/learnings/agreement_filtered_distillation.md
agreement_filter_subset_size_strict_f1,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble → BERT subset size,top_1000,1000,top 1000,14031,0.071270757608,validation,span_strict_f1,Strict span F1,0.6665,66.65,pilot,validation,false,#E45756,docs/learnings/agreement_filtered_distillation.md
agreement_filter_subset_size_strict_f1,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble → BERT subset size,top_2000,2000,top 2000,14031,0.142541515217,validation,span_strict_f1,Strict span F1,0.6330,63.3,pilot,validation,false,#E45756,docs/learnings/agreement_filtered_distillation.md
agreement_filter_subset_size_strict_f1,pat_perm_bart_ensemble_to_bert_subset,Pat+Perm BART ensemble → BERT subset size,top_5000,5000,top 5000,14031,0.356353788041,validation,span_strict_f1,Strict span F1,0.5776,57.76,pilot,validation,false,#E45756,docs/learnings/agreement_filtered_distillation.md
