dataset,task,label_level,tagging_scheme,method_id,method_label,model,k_shot,split_seed,run_seed,run_id,pattern_id,order_family,ensemble_size,teacher_source,eval_split,metric_name,metric_label,metric_value,metric_unit,status,score_source,is_placeholder,needs_more_runs,expected_runs,completed_runs,source_path,notes,last_updated
conll2003,ner,coarse,BIO,standard_bert,Standard BERT,bert-base-cased,5,42,,k5_seed42,,,,,test,span_strict_f1,Strict span F1,0.3426322491029054,fraction,ready_for_draft,test,false,true,3,1,results/bert_conll2003_standard_report/BERT_kshot_standard_report.csv,Seed-42 test score selected to match currently available ensemble and distillation draft points,2026-05-17
conll2003,ner,coarse,BIO,bart_pattern_learner,BART pattern learner,facebook/bart-base,5,42,,k5_seed42,pattern_01,orders,,,"validation",span_strict_f1,Strict span F1,0.4655,fraction,placeholder,pilot_validation,true,true,3,1,reports/oada_xe_pilot_findings.md,Old-prompt pilot validation score; use only for plot design,2026-05-17
conll2003,ner,coarse,BIO,orders_patterns_ensemble_majority,Orders + Patterns ensemble majority,facebook/bart-base,5,42,,k5_seed42,,orders,10,,test,span_strict_f1,Strict span F1,0.5099199824619094,fraction,ready_for_draft,test,false,true,3,1,reports/ensemble_tagging/k5_seed42_oada_style_seed_ensemble_verbalized_final2000_test_metrics.json,Hard-argmax ensemble score available for k5_seed42 only,2026-05-17
conll2003,ner,coarse,BIO,verbalized_ensemble_majority,Verbalized ensemble majority,facebook/bart-base,5,42,,k5_seed42,,orders,10,,test,span_strict_f1,Strict span F1,0.484077841662981,fraction,ready_for_draft,test,false,true,3,1,reports/ensemble_tagging/k5_seed42_pet_oada_verbalized_final2000_test_metrics.json,Hard-argmax ensemble score available for k5_seed42 only; label avoids source-paper shorthand,2026-05-17
conll2003,ner,coarse,BIO,orders_patterns_distilled_bert,Orders + Patterns distilled BERT,bert-base-cased,5,42,,top_1000_hard_argmax,,orders,10,orders_patterns_ensemble_majority,test,span_strict_f1,Strict span F1,0.6640,fraction,placeholder,test,true,true,3,1,docs/learnings/agreement_filtered_distillation.md,Filtered-teacher pilot value; top_1000 selected in pilot study and should be rerun under locked protocol before final claims,2026-05-17
